company,address,telephone
Castello di Cordovado,"3, Via Castello - 33075 Cordovado (PN)",338 4443727
La VI Pietra Miliare,"Via Levada, 89 - 33079 Sesto al Reghena (PN)","0434 699020



0434 699956



0434 699030"
Mazzolo Viaggi By Patrick,"Via Tina Modotti, 3 - 33078 San Vito al Tagliamento (PN)",0434 834483
Abaco Viaggi S.a.s. di Padovani Nevio & C.,"Via Maestri del Lavoro, 42 - 33080 Fiume Veneto (PN)",0434 959309
Doll Travel By Gigi Morello,"Via Vendramin, 150 - 33053 Latisana (UD)",0431 510000
Abaco Viaggi S.a.s. di Padovani Nevio & C.,"Via Venudo Attilio, 15 - 30028 San Michele al Tagliamento (VE)",0432 912462
Bozzetto Monica,"Via del Girone, 18 - 31045 Motta di Livenza (TV)",0422 860184
Castello di Flambruzzo,"4, Via Stella - 33061 Rivignano Teor (UD)",0432 775478
Delizia Club di Liani Corrado & C. S.a.s.,"Via XXIV Maggio, 1/C - 33072 Casarsa della Delizia (PN)","0434 869452



0432 900071"
"\""Nord Adria Viaggi\""","Viale S. Margherita, 140 - 30021 Caorle (VE)","0421 212310



0421 217554"
Promoservice S.r.l.,"Via Carducci Giosue', 16 - 30020 Torre di Mosto (VE)",0421 1885694
Riviera,"Lungo Mare Trieste, 21 - 30021 Caorle (VE)","0421 81353



0421 83241"
Zetatur S.r.l.,"Viale delle Rondini, 1 - 30021 Caorle (VE)",0421 261766
Dal Mas Angela,"Via Roma, 8/A - 30029 San Stino di Livenza (VE)","0421 310965



0421 473212"
Buona Stella S.n.c. di Stel Germana & Fumagalli Chiara,"Via Nazionale, 54 - 33056 Palazzolo dello Stella (UD)","0431 586844



0431 587033



0431 887552"
Centro Servizi per Il Turismo,"Via Boito Arrigo, 10 - 30028 San Michele al Tagliamento (VE)",0431 610928
Fiume S.r.l.,"Via Bassi, 2 - 33080 Fiume Veneto (PN)","0434 564112



0434 564113



348 3056471"
Agenzia Arcatours di Faggion Silvio & C. S.a.s.,"Via dal Moro Luigi, 21 - 30021 Caorle (VE)",0421 210005
Magico S.r.l.,"Via Trieste, 70/A - 33082 Azzano Decimo (PN)",0434 633398
Agriturismo Casali Buffon,"Via Forte, 21 - 33053 Latisana (UD)",0431 558132
Agriturismo Fossa Mala,"Via Bassi, 81 - 33080 Fiume Veneto (PN)",0434 957997
Agriturismo Maliso,"Via Venezia, 60 - 30022 Ceggia (VE)",349 3894252
Le Vigne Morosina,"Via Callunga, 72 - 31040 Cessalto (TV)",0421 327323
Tal Mior Cianton,"Via Comugne, 9/LOC. SALETTO - 33075 Saletto-Bando (PN)",0434 697112
Vidisè Bergamo Vini,"Via Vidise', 16 - 31045 Motta di Livenza (TV)","0422 768032



349 6155576



349 7398481"
Agrimargherita,"Via Sant'Antonio, 2 - 30029 San Stino di Livenza (VE)",0421 88054
Agriturismo Ai Due Pioppi,"Via Tomadini, 50 - 33053 Latisana (UD)","346 6658131



0431 50073"
Agriturismo Casa Vecia,"Via Rotta, 24 - 30020 Torre di Mosto (VE)","0421 325462



340 5678067"
Agriturismo Tiare dal Gorc,"Via Manin Daniele, 111 - 33053 Latisana (UD)",338 1798830
Agriturismo Zaglia,"Via Crescenzia, 10 - 33050 Precenicco (UD)",0431 510320
Alloggio Agrituristico Albafiorita,"Via Crosere, 115 - 33053 Latisana (UD)","0431 510150



0431 366206"
Angel Bistrot,Via Fontane 11 Rientranza - 33087 Pasiano di Pordenone (PN),0434 620672
Arcobaleno,"Via Maggiore, 183 - 31040 Cessalto (TV)",0421 327835
Azienda Agricola Antico Livenza,"12, Via Taglio - 30020 Boccafossa (VE)",0421 80893
Azienda Agricola Bianchi Giovanni Enrico Eredi S.S.,"Piazzale Colloredo, 3 - 33078 San Vito al Tagliamento (PN)","349 0776116



0434 879013"
Azienda Agrituristica Nonis,"Via Treviso, 17 - 33078 San Vito al Tagliamento (PN)","0434 81710



0434 834313



392 4529399"
Borgo dei Conti della Torre,"Via Ponte Madrisio, 13 - 33075 Morsano al Tagliamento (PN)","348 5169135



347 9252553"
da Romeo,"Via Largoni, 11 - 31045 Motta di Livenza (TV)","0422 768041



0422 766010"
Fattoria da Giulia,"Via Pra' D'Arca, 4 - 30022 Ceggia (VE)",347 7528689
Gea Societa' Semplice Agricola,"Via Marango, 288 - 30028 San Michele al Tagliamento (VE)","0431 515001



334 2654346"
Il Salice Ridente,"Via Santa Maria, 4 - 33087 Pasiano di Pordenone (PN)",0434 604233
Isola Augusta,"Casale Isola Augusta, 4 - 33056 Palazzolo dello Stella (UD)",0431 58046
La Torre del Falco Agriturismo,"Via Prodolone, 13 - 33078 San Vito al Tagliamento (PN)",349 0776116
La Torre del Falco,"Via Mulino, 13 - 33078 Prodolone (PN)","0434 80431



349 0776116"
La Via Antiga,"13, Via San Martino - 30020 Torre Di Mosto (VE)",331 6342666
Lemene,"Via Durisi, 16 - 30021 Caorle (VE)","335 8015776



0421 88146"
Locanda Gioia,"Via Rotta, 8/A - 30020 Torre di Mosto (VE)",329 9277821
Maranghetto,"Via Durisi, 15 - 30021 Caorle (VE)","333 4612900



340 0657940



338 5951882"
Olistella - Az.Agricola Stefani,"Casali Moretton, 30/B - 33056 Palazzolo dello Stella (UD)","349 4036786



349 7681860"
Pro Casarsa della Delizia Aps,"Via Mario Zatti, 1 - 33072 Casarsa della Delizia (PN)","0434 871031



0434 871208



0434 316056"
Pro Loco Precenicco,"Via Latisana, 1 - 33050 Precenicco (UD)",0431 589655
Tenuta Regina,"Via Casali Tenuta Regina, 8 - 33056 Palazzolo dello Stella (UD)",0431 587971
Tenuta Zarnic - Az. Agricola Biologica,"Via Isernicco, 16, Loc. Flambruzzo - 33061 Rivignano (UD)",345 2759303
Zaglia Giorgio,"Via Sottopovolo, 93 - 33053 Latisana (UD)",0431 510320
Zanin Marco,"Via Staffolo, 120 - 30020 Torre di Mosto (VE)",0421 318441
Pra' d'Arca,"Via Cal Torta, 18 - 30022 Ceggia (VE)",0421 329755
la Prediletta,"Via Malgher, 7 - 31045 Motta di Livenza (TV)","0422 768083



348 2826539"
Isola Augusta,"Via Casali Isola Augusta, 4 - 33056 Palazzolo dello Stella (UD)",0431 58046
Podere dell'Angelo,"Via Fontane, 11 - 33087 Pasiano di Pordenone (PN)",0434 620672
Virgili Dorino,"Via Piave, 10 - 33032 Bertiolo (UD)",0432 917738
Ai Due Pioppi,"Via Jacopo Tomadini, 50 - 33053 Latisana (UD)",0431 50073
Sesta Presa,"Strada della Sesta Presa, 195 - 30021 Caorle (VE)",333 9841129
Casa del Sole,"Via Tisanella, 25/A - 33053 Latisana (UD)",0431 59436
Prà d'Arca,"Via Caltorta, 28 - 30022 Ceggia (VE)",348 7143978
Valgrande,"Via Baseleghe, 4 - 30028 San Michele al Tagliamento (VE)",0431 447220
Podere dell'Angelo Societa' Agricola S.r.l.,"Via Frascade, 30 - 33087 Pasiano di Pordenone (PN)","0434 620672



334 8518766"
A.P.T. della Provincia di Venezia,"Calle delle Liburniche, 16 - 30021 Caorle (VE)","0421 81085



0421 218623"
Camst - Cooperativa Albergo Mensa Spettacolo e Turismo Soc. Coop. a R.L.,"Via Zanetti Antonio, 9 - 33170 Pordenone (PN)",0434 511055
Falconera,"Via dei Casoni, 4 - 30021 Caorle (VE)",0421 84282
Hotel San Marco,"Via delle Ortensie, 2 - 30028 Bibione Pineda (VE)","0431 43301



0431 437347"
San Marco,"Via Alemagna Bibione, 2 - 30028 San Michele al Tagliamento (VE)",
San Marco,"Via dei Lecci, 19 - 30028 San Michele al Tagliamento (VE)","0431 43301



0431 437347



0431 430941"
Agenzia Immobiliare Venezia,"Corso del Sole, 201 - 30028 Bibione (VE)","0431 43395



393 2480394"
Agenzia Viaggi Lucangeli,"Via Guglielmo Oberdan, 39/47 - 33170 Pordenone (PN)",0434 524411
Cà Valestour,"Via Dogana, 29 - 33170 Pordenone (PN)",0434 571059
Dreamsteam Agenzia Viaggi - Bessega Daniela,"Via della Motta, 14 - 33170 Pordenone (PN)",0434 934074
Italy Trip Idea - Bessega Daniela Agenzia Viaggi,"Via della Motta, 14 - 33170 Pordenone (PN)",0434 934074
Abaco Viaggi S.a.s. di Padovani Nevio & C.,"Via Italia, 34 - 33033 Codroipo (UD)","0432 900077



0432 488632"
Abaco Viaggi S.a.s. di Padovani Nevio & C.,"Piazza Garibaldi Giuseppe, 32 - 33033 Codroipo (UD)","0432 900119



0432 912462"
Agenzia Adria S.a.s. di Carlin Verena & C.,Corso del Sole 170 - 30028 San Michele al Tagliamento (VE),"0431 43444



0431 43644



0431 438439"
Appartamenti Dune,"Via delle Dune, 21 - 33054 Lignano Sabbiadoro (UD)",0431 423842
Armonia Viaggi S.r.l.,"Corso degli Alisei, 39 - 33054 Lignano Sabbiadoro (UD)","0431 428825



0431 439095"
Bluvacanze S.p.a.,"Via Trenta Aprile, 7 - 33170 Pordenone (PN)",0434 241701
Encanto Travel,"13, Via Alessandro Volta - 30020 Noventa Di Piave (VE)",392 1954953
Iot - International Organization Of Tourism S.r.l.,"Via Mazzini Giuseppe, 48 - 33170 Pordenone (PN)",0434 21931
Make Group S.a.s. di Giancarlo Marra,"Via Matteotti Giacomo, 20 - 33170 Pordenone (PN)",
Parco Hemingway Villaggio,"Via Garibaldi, 32 - 33054 Lignano Sabbiadoro (UD)",0431 70400
R.T.P. Robintur Travel Partner S.r.l.,Via Roma - 33033 Codroipo (UD),0432 906037
Siraly S.r.l.,"Corso degli Alisei, 35 - 33054 Lignano Sabbiadoro (UD)","0431 860009



0431 428747"
Soge S.r.l.,"Via Torre, 12 - 30028 San Michele al Tagliamento (VE)",079 523621
Viaggiamondo S.r.l.s. Unipersonale Societa' a Responsabilita' Limitata Semplificata,"Via Cavallotti Felice, 8/A - 33170 Pordenone (PN)","0434 28669



0434 247521"
Villa Elisabeth Lignano,"Via dei Cantieri, 43 - 33054 Lignano Sabbiadoro (UD)",0431 423842
Villaggio Alex,"Via del Canarino, 25 - 33054 Lignano Sabbiadoro (UD)",0431 423842
San Martino Travel S.n.c. di Russolo Aldo & C.,"Via Luciani Papa, 1/B - 31040 Portobuffolè (TV)",0422 850347
Livenza Viaggi S.r.l.,"Via Oberdan Guglielmo, 5/B - 33170 Pordenone (PN)",0434 245501
Temaviaggi S.r.l.,"Via San Giuliano, 3 - 33170 Pordenone (PN)",0434 247520
Intras A.S.T.A. S.r.l.,"Viale Europa, 27 - 33054 Lignano Sabbiadoro (UD)",0431 71223
Beltrame Claudio,"Viale Duodo Francesco, 53 - 33033 Codroipo (UD)",0432 908560
Comune di Lignano Sabbiadoro,"Viale Europa, 26 - 33054 Lignano Sabbiadoro (UD)",0431 409111
Agriturismo La di Madot,"Via del Santuario, 48 - 33033 Codroipo (UD)",0432 908029
Agriturismo Al Casale,"Casali Loreto, 3 - 33033 Codroipo (UD)",0432 909600
Agriturismo Al Ranch,"Via Dante Alighieri, 8 - 33032 Bertiolo (UD)",0432 917169
Ateagri Ss Societa' Agricola,"Via Casali Nardon, 1 - 33050 Pocenia (UD)",338 1923131
Azienda Agricola Crosato,"6, Via Tessere - 30027 San Donà Di Piave (VE)",0421 320747
De Faveri,"Via Rossini Gioacchino, 31 - 30020 Eraclea (VE)",0421 237172
Fratelli Budoia,"Via Maggiore di Piavon, 117 - 31046 Oderzo (TV)",0422 752209
Gardenal Paolo,"Via Postumia di Fratta, 87 - 31046 Oderzo (TV)",346 8525510
Là di Madot,Via del Santuario 48 Lonca di Codroipo - 33033 Codroipo (UD),0432 908029
La Cortine,"Via Zompicchia, 9/2 - 33033 Codroipo (UD)",0432 906876
Podere dell'Angelo,"Via Rive Fontane, 11 - 33170 Pordenone (PN)",0434 620672
Ristorante dell'Agriturismo Borgo Titol,Via Borgo Titol N.1 Tramonti di Sopra - 33170 Pordenone (PN),0427 869061
Taj Landia,"Via Montello, 17 - 33032 Bertiolo (UD)",347 7125487
Podere dell'Angelo Uno Societa' Agricola S.r.l.,"Piazza Ottoboni, 4 - 33170 Pordenone (PN)",0434 939017
Fattoria San Giacomo,"Via Casali Nardon, 22 - 33050 Pocenia (UD)","0432 777037



347 2480758



335 265588"
Al Casale,"Località Casali Loreto, 3 - 33033 Codroipo (UD)",0432 909600
Basic S.r.l.,"Via Frascati, 30 - 33070 Brugnera (PN)",0434 620672
Archivio di Stato di Pordenone,"Via Montereale, 7 - 33170 Pordenone (PN)",0434 364356
Assessorato Provinciale al Turismo,"Largo S. Giorgio, 12 - 33170 Pordenone (PN)","0434 2311



0427 71577



0434 524545



0434 231244



0434 231243



0434 231278



0434 231478



0434 231228



0434 231323



0434 231270



0434 231227



0434 231336



0434 231328



0434 231344



0434 231300



0434 231288



0434 231360



0434 231229



0434 231324



0434 231350



0434 231405



0434 231390



0434 231309



0434 231339



0434 231417



0434 231342



0434 231382



0434 231370



0434 231341



0434 231303



0434 231213



0434 231355



0434 231236



0434 231205



0434 231442



0434 231416



0434 231398



0434 231364



0434 231365



0434 231404



0434 231409



0434 231411



0434 231373



0434 231225



0434 231445



335 5636378



0434 231414



0434 231233



0434 231232



0434 231226



0434 231351



0434 231347



0434 231242



0434 231499



0434 231261



0434 231258



0434 231275



0434 231200



0434 231204



0434 231426



0434 231248



0434 231385



0434 231462



0434 231466



0434 529022



0434 228175



0434 877184



0434 231317



0434 231340"
Camst - Cooperativa Albergo Mensa Spettacolo e Turismo Soc. Coop. a R.L.,"Via Martina Giuseppe, 1 - 33033 Codroipo (UD)",0432 901038
Istituto Tecnico Statale per il Turismo,"Via Mezzasacca, 1 - 33054 Lignano Sabbiadoro (UD)",0431 70197
Comune di Mansue',"Via Roma, 18 - 31040 Mansuè (TV)",0422 204911
Grand Hotel Playa,"Lungo Mare Trieste, 128 - 33054 Lignano Sabbiadoro (UD)",0431 71071
,,
